Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,County,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,State,State Abbreviation,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
0,Republican,0.0,410,Democrat,43.70000000000001,0,Republican,0.0,0,Republican,0.0,Adair,1512,Republican,57.8,466,Democrat,49.6,0,Republican,0.0,190,Republican,7.3,246,Republican,9.4,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Kentucky,KY,631,Republican,24.099999999999998,0,N/A,0.0
0,Republican,0.0,1153,Democrat,58.8,0,Republican,0.0,0,Republican,0.0,Adair,1404,Republican,40.400000000000006,799,Democrat,40.699999999999996,0,Republican,0.0,513,Republican,14.800000000000002,299,Republican,8.6,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Missouri,MO,1164,Republican,33.5,0,N/A,0.0
112,Republican,7.200000000000001,971,Democrat,55.8,0,Republican,0.0,0,Republican,0.0,Adair,491,Republican,31.6,582,Democrat,33.4,0,Republican,0.0,22,Republican,1.4000000000000001,384,Republican,24.7,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Oklahoma,OK,516,Republican,33.2,0,N/A,0.0
0,Republican,0.0,3279,Democrat,61.0,0,Republican,0.0,0,Republican,0.0,Adams,0,Republican,0.0,2060,Democrat,38.3,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Colorado,CO,0,Republican,0.0,0,N/A,0.0
30,Republican,11.0,86,Democrat,43.20000000000001,16,Republican,5.8999999999999995,1,Republican,0.4,Adams,68,Republican,24.9,113,Democrat,56.8,7,Republican,2.6,10,Republican,3.7000000000000006,47,Republican,17.2,0,Democrat,0.0,3,Republican,1.0999999999999999,0,N/A,0.0,8,Republican,2.9000000000000004,1,Republican,0.4,Iowa,IA,81,Republican,29.7,0,N/A,0.0
0,Republican,0.0,48,Democrat,69.6,0,Republican,0.0,0,Republican,0.0,Adams,354,Republican,43.1,19,Democrat,27.500000000000004,0,Republican,0.0,64,Republican,7.8,97,Republican,11.799999999999999,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Idaho,ID,292,Republican,35.5,0,N/A,0.0
0,Republican,0.0,1609,Democrat,47.199999999999996,0,Republican,0.0,0,Republican,0.0,Adams,5233,Republican,40.699999999999996,1731,Democrat,50.7,0,Republican,0.0,1427,Republican,11.1,953,Republican,7.400000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Illinois,IL,4885,Republican,38.0,0,N/A,0.0
0,Republican,0.0,1030,Democrat,51.0,0,Republican,0.0,0,Republican,0.0,Adams,2458,Republican,35.8,991,Democrat,49.0,0,Republican,0.0,367,Republican,5.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Indiana,IN,3851,Republican,56.10000000000001,0,N/A,0.0
11,Republican,2.4,765,Democrat,51.300000000000004,0,Republican,0.0,0,Republican,0.0,Adams,249,Republican,55.00000000000001,702,Democrat,47.099999999999994,0,Republican,0.0,64,Republican,14.099999999999998,80,Republican,17.7,0,Democrat,0.0,0,Republican,0.0,18,N/A,1.2,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,43,Republican,9.5,0,N/A,0.0
0,Republican,0.0,438,Democrat,12.6,0,Republican,0.0,0,Republican,0.0,Adams,1434,Republican,47.599999999999994,3013,Democrat,86.7,0,Republican,0.0,300,Republican,10.0,191,Republican,6.3,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Mississippi,MS,1017,Republican,33.800000000000004,0,N/A,0.0
0,Republican,0.0,284,Democrat,61.6,0,Republican,0.0,0,Republican,0.0,Adams,2798,Republican,62.2,177,Democrat,38.4,0,Republican,0.0,486,Republican,10.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Nebraska,NE,725,Republican,16.1,0,N/A,0.0
0,Republican,0.0,638,Democrat,41.3,0,Republican,0.0,0,Republican,0.0,Adams,2594,Republican,48.199999999999996,877,Democrat,56.8,0,Republican,0.0,1726,Republican,32.1,78,Republican,1.4000000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Ohio,OH,843,Republican,15.7,0,N/A,0.0
0,Republican,0.0,4066,Democrat,50.9,0,Republican,0.0,0,Republican,0.0,Adams,9754,Republican,57.3,3846,Democrat,48.199999999999996,0,Republican,0.0,2687,Republican,15.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Pennsylvania,PA,4058,Republican,23.9,0,N/A,0.0
0,Republican,0.0,17,Democrat,73.9,0,Republican,0.0,0,Republican,0.0,Adams,929,Republican,79.0,6,Democrat,26.1,0,Republican,0.0,67,Republican,5.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Washington,WA,127,Republican,10.8,0,N/A,0.0
0,Republican,0.0,1501,Democrat,51.800000000000004,0,Republican,0.0,0,Republican,0.0,Adams,2279,Republican,55.39999999999999,1373,Democrat,47.4,0,Republican,0.0,374,Republican,9.1,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wisconsin,WI,1360,Republican,33.1,0,N/A,0.0
0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,Addison,0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
17,Republican,7.400000000000001,251,Democrat,86.3,0,Republican,0.0,0,Republican,0.0,Addison,66,Republican,28.800000000000004,40,Democrat,13.699999999999998,0,Republican,0.0,51,Republican,22.3,56,Republican,24.5,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,33,Republican,14.400000000000002,0,N/A,0.0
108,Republican,3.2,1943,Democrat,52.2,0,Republican,0.0,0,Republican,0.0,Agawam,1814,Republican,53.2,1695,Democrat,45.5,0,Republican,0.0,499,Republican,14.6,522,Republican,15.299999999999999,0,Democrat,0.0,0,Republican,0.0,54,N/A,1.5,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,402,Republican,11.799999999999999,0,N/A,0.0
2613,Republican,9.1,2870,Democrat,29.299999999999997,0,Republican,0.0,0,Republican,0.0,Aiken,9027,Republican,31.6,6888,Democrat,70.2,1207,Republican,4.2,1904,Republican,6.7,6804,Republican,23.799999999999997,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,South Carolina,SC,7036,Republican,24.6,0,N/A,0.0
0,Republican,0.0,17590,Democrat,48.8,0,Republican,0.0,0,Republican,0.0,Alachua,9241,Republican,38.2,17733,Democrat,49.20000000000001,0,Republican,0.0,1902,Republican,7.9,6979,Republican,28.800000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Florida,FL,5213,Republican,21.5,0,N/A,0.0
0,Republican,0.0,5755,Democrat,41.9,0,Republican,0.0,0,Republican,0.0,Alamance,6507,Republican,38.3,7374,Democrat,53.7,0,Republican,0.0,1791,Republican,10.5,1300,Republican,7.6,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,North Carolina,NC,6956,Republican,40.9,0,N/A,0.0
0,Republican,0.0,91324,Democrat,45.800000000000004,0,Republican,0.0,0,Republican,0.0,Alameda,19951,Republican,66.9,107102,Democrat,53.7,0,Republican,0.0,5108,Republican,17.1,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,California,CA,3208,Republican,10.8,0,N/A,0.0
0,Republican,0.0,167,Democrat,63.0,0,Republican,0.0,0,Republican,0.0,Alamosa,0,Republican,0.0,90,Democrat,34.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Colorado,CO,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,20422,Democrat,52.5,0,Republican,0.0,0,Republican,0.0,Albany,6381,Republican,48.1,18450,Democrat,47.5,0,Republican,0.0,4690,Republican,35.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,New York,NY,2197,Republican,16.6,0,N/A,0.0
4,Republican,4.6,139,Democrat,89.1,0,Republican,0.0,0,Republican,0.0,Albany,35,Republican,40.2,16,Democrat,10.299999999999999,0,Republican,0.0,23,Republican,26.400000000000002,14,Republican,16.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,10,Republican,11.5,0,N/A,0.0
0,Republican,0.0,25,Democrat,75.8,0,Republican,0.0,0,Republican,0.0,Albany,0,Republican,0.0,8,Democrat,24.2,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wyoming,WY,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,Albany-Natrona,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,39,Republican,51.300000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Wyoming,WY,37,Republican,48.699999999999996,0,N/A,0.0
665,Republican,4.5,6838,Democrat,45.0,0,Republican,0.0,0,Republican,0.0,Albemarle,3661,Republican,24.6,8284,Democrat,54.50000000000001,0,Republican,0.0,2306,Republican,15.5,5518,Republican,37.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,2540,Republican,17.1,0,N/A,0.0
0,Republican,0.0,2,Democrat,66.7,0,Republican,0.0,0,Republican,0.0,Albion,0,Republican,0.0,1,Democrat,33.300000000000004,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
5,Republican,2.3,315,Democrat,90.5,0,Republican,0.0,0,Republican,0.0,Alburgh,102,Republican,47.4,31,Democrat,8.9,0,Republican,0.0,42,Republican,19.5,31,Republican,14.400000000000002,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Vermont,VT,20,Republican,9.3,0,N/A,0.0
0,Republican,0.0,455,Democrat,47.9,0,Republican,0.0,0,Republican,0.0,Alcona,1111,Republican,51.800000000000004,463,Democrat,48.699999999999996,0,Republican,0.0,340,Republican,15.9,138,Republican,6.4,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,460,Republican,21.5,0,N/A,0.0
0,Republican,0.0,302,Democrat,26.400000000000002,0,Republican,0.0,0,Republican,0.0,Alcorn,2901,Republican,50.4,809,Democrat,70.8,0,Republican,0.0,415,Republican,7.200000000000001,320,Republican,5.6000000000000005,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Mississippi,MS,2003,Republican,34.8,0,N/A,0.0
0,Republican,0.0,434,Democrat,33.800000000000004,0,Republican,0.0,0,Republican,0.0,Alexander,282,Republican,52.400000000000006,770,Democrat,60.0,0,Republican,0.0,17,Republican,3.2,15,Republican,2.8000000000000003,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Illinois,IL,211,Republican,39.2,0,N/A,0.0
0,Republican,0.0,1,Democrat,100.0,0,Republican,0.0,0,Republican,0.0,Alexander,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,1123,Democrat,44.800000000000004,0,Republican,0.0,0,Republican,0.0,Alexander,2608,Republican,41.9,1148,Democrat,45.800000000000004,0,Republican,0.0,374,Republican,6.0,242,Republican,3.9,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,North Carolina,NC,2830,Republican,45.5,0,N/A,0.0
272,Republican,2.0,7008,Democrat,29.9,0,Republican,0.0,0,Republican,0.0,Alexandria,2546,Republican,18.8,16281,Democrat,69.5,0,Republican,0.0,3152,Republican,23.3,6338,Republican,46.800000000000004,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,1036,Republican,7.7,0,N/A,0.0
67,Republican,5.8999999999999995,191,Democrat,58.099999999999994,0,Republican,0.0,0,Republican,0.0,Alfalfa,337,Republican,29.4,92,Democrat,28.000000000000004,0,Republican,0.0,18,Republican,1.6,274,Republican,23.9,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Oklahoma,OK,421,Republican,36.8,0,N/A,0.0
2,Republican,5.3,59,Democrat,41.3,0,Republican,0.0,0,Republican,0.0,Alford,12,Republican,31.6,84,Democrat,58.70000000000001,0,Republican,0.0,14,Republican,36.8,7,Republican,18.4,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,2,Republican,5.3,0,N/A,0.0
0,Republican,0.0,5,Democrat,62.5,0,Republican,0.0,0,Republican,0.0,Alfred,0,Republican,0.0,3,Democrat,37.5,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,622,Democrat,60.0,0,Republican,0.0,0,Republican,0.0,Alger,517,Republican,40.699999999999996,384,Democrat,37.1,0,Republican,0.0,281,Republican,22.1,99,Republican,7.8,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,318,Republican,25.0,0,N/A,0.0
0,Republican,0.0,1,Democrat,100.0,0,Republican,0.0,0,Republican,0.0,Allagash,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
77,Republican,11.200000000000001,296,Democrat,49.3,54,Republican,7.9,4,Republican,0.6,Allamakee,193,Republican,28.1,304,Democrat,50.7,11,Republican,1.6,2,Republican,0.3,131,Republican,19.1,0,Democrat,0.0,9,Republican,1.3,0,N/A,0.0,16,Republican,2.3,6,Republican,0.9000000000000001,Iowa,IA,183,Republican,26.6,0,N/A,0.0
0,Republican,0.0,5545,Democrat,60.3,0,Republican,0.0,0,Republican,0.0,Allegan,5327,Republican,26.1,3489,Democrat,38.0,0,Republican,0.0,4636,Republican,22.7,1981,Republican,9.700000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,7530,Republican,36.9,0,N/A,0.0
0,Republican,0.0,2469,Democrat,44.7,0,Republican,0.0,0,Republican,0.0,Allegany,6272,Republican,64.9,2311,Democrat,41.8,0,Republican,0.0,1225,Republican,12.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maryland,MD,1717,Republican,17.8,0,N/A,0.0
0,Republican,0.0,1119,Democrat,59.5,0,Republican,0.0,0,Republican,0.0,Allegany,2702,Republican,54.89999999999999,762,Democrat,40.5,0,Republican,0.0,1116,Republican,22.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,New York,NY,1101,Republican,22.400000000000002,0,N/A,0.0
0,Republican,0.0,571,Democrat,44.800000000000004,0,Republican,0.0,0,Republican,0.0,Alleghany,790,Republican,49.70000000000001,563,Democrat,44.2,0,Republican,0.0,159,Republican,10.0,99,Republican,6.2,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,North Carolina,NC,501,Republican,31.5,0,N/A,0.0
131,Republican,8.3,246,Democrat,36.0,0,Republican,0.0,0,Republican,0.0,Alleghany,742,Republican,46.9,433,Democrat,63.3,0,Republican,0.0,68,Republican,4.3,379,Republican,24.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,244,Republican,15.4,0,N/A,0.0
0,Republican,0.0,98012,Democrat,44.1,0,Republican,0.0,0,Republican,0.0,Allegheny,61004,Republican,51.0,122399,Democrat,55.1,0,Republican,0.0,33045,Republican,27.6,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Pennsylvania,PA,23883,Republican,20.0,0,N/A,0.0
0,Republican,0.0,16435,Democrat,52.2,0,Republican,0.0,0,Republican,0.0,Allen,29473,Republican,44.7,15032,Democrat,47.8,0,Republican,0.0,4874,Republican,7.400000000000001,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Indiana,IN,29963,Republican,45.5,0,N/A,0.0
0,Republican,0.0,440,Democrat,47.4,0,Republican,0.0,0,Republican,0.0,Allen,640,Republican,42.4,427,Democrat,46.0,0,Republican,0.0,138,Republican,9.2,161,Republican,10.7,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Kentucky,KY,524,Republican,34.7,0,N/A,0.0
0,Republican,0.0,297,Democrat,30.599999999999998,0,Republican,0.0,0,Republican,0.0,Allen,394,Republican,37.20000000000001,536,Democrat,55.1,0,Republican,0.0,34,Republican,3.2,71,Republican,6.7,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Louisiana,LA,530,Republican,50.1,0,N/A,0.0
0,Republican,0.0,2730,Democrat,42.1,0,Republican,0.0,0,Republican,0.0,Allen,7193,Republican,35.2,3670,Democrat,56.60000000000001,0,Republican,0.0,8719,Republican,42.6,433,Republican,2.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Ohio,OH,3710,Republican,18.099999999999998,0,N/A,0.0
32,Republican,8.9,95,Democrat,8.4,0,Republican,0.0,0,Republican,0.0,Allendale,160,Republican,44.3,1022,Democrat,90.8,21,Republican,5.800000000000001,12,Republican,3.3000000000000003,92,Republican,25.5,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,South Carolina,SC,44,Republican,12.2,0,N/A,0.0
0,Republican,0.0,2,Democrat,66.7,0,Republican,0.0,0,Republican,0.0,Alna,0,Republican,0.0,1,Democrat,33.300000000000004,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,1347,Democrat,54.1,0,Republican,0.0,0,Republican,0.0,Alpena,1885,Republican,44.1,1102,Democrat,44.3,0,Republican,0.0,785,Republican,18.4,318,Republican,7.400000000000001,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Michigan,MI,1125,Republican,26.3,0,N/A,0.0
0,Republican,0.0,129,Democrat,53.5,0,Republican,0.0,0,Republican,0.0,Alpine,122,Republican,80.3,110,Democrat,45.6,0,Republican,0.0,18,Republican,11.799999999999999,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,California,CA,7,Republican,4.6,0,N/A,0.0
0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,Alton,0,Republican,0.0,1,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
0,Republican,0.0,1753,Democrat,46.5,0,Republican,0.0,0,Republican,0.0,Amador,3605,Republican,81.7,1949,Democrat,51.7,0,Republican,0.0,366,Republican,8.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,California,CA,285,Republican,6.5,0,N/A,0.0
